nace,esize_class,gender,age_class,lpk,education,experience,target,xgb,grb,rf,lm,svr,tf
C,50_249,M,40-49,p752,G2,19,5.33,4.7312465,4.893230501457646,5.361489109217223,4.806706716148222,4.717413834319995,4.765357
C,50_249,F,40-49,p752,G2,15,5.58,4.2951035,4.190631549641857,4.2397929638865355,4.301480564736163,3.904150820304523,4.145043
C,50_249,F,30-39,p242,G3,12,4.44,5.67935,6.199747490932287,5.422578484388552,6.075208356544017,5.705850042989682,5.8891406
C,50_249,M,30-39,p752,G2,11,4.55,5.004583,5.197336833750562,5.338540230833766,4.856591001676277,5.142793172045934,5.1853914
C,50_249,M,30-39,p214,G3,10,6.03,7.5439105,7.4690968387380625,7.7092538836759275,6.893056480962074,7.691644291358464,7.304323
C,50_249,F,60+,p911,G2,10,3.61,2.6722476,2.761714808675073,2.6949360338389363,2.7595233886303108,2.6793668860217013,2.942885
C,50_249,M,40-49,p752,G2,9,4.88,4.595672,4.947071401375138,5.3205279054671095,4.646372436601565,4.900307519700222,4.6897345
C,50_249,M,50-59,p752,G2,7,4.78,4.4626107,4.610611651016141,5.013947347386201,4.363130639913093,4.7022702107517205,4.50293
C,50_249,M,30-39,p932,G1,4,3.75,3.5692132,3.475332309516943,3.4239636738637436,3.7346296023267076,3.137054942045737,3.3841524
C,50_249,M,30-39,p752,G2,4,5.33,4.932258,5.18528260775579,5.4508096305508635,4.744357005993618,4.9356492536950665,4.883377
C,50_249,M,30-39,p752,G2,2,4.01,4.7371044,4.7620473555925775,4.890632933888294,4.712290150084287,4.753094817465254,4.8134975
C,50_249,M,50-59,p752,G2,1,4.65,4.348514,4.363419654223789,4.5608182896791645,4.266930072185099,4.405304391879694,4.253163
C,50_249,M,14-29,p752,G2,1,3.95,4.6750555,4.622463919311524,4.922603226791198,4.392440323616513,4.562413410520393,4.668612
C,50_249,M,50-59,p752,G2,9,4.64,4.6470246,4.639510116412848,5.0331865767128265,4.3951974958224245,4.742978399168338,4.512925
C,50_249,M,14-29,p752,G3,6,4.83,5.22353,5.441010636306796,5.754456782848268,4.983769592462552,5.108558931324542,5.1755404
C,50_249,M,14-29,p752,G2,3,3.55,4.812237,4.907429170230247,4.885662662539778,4.424507179525844,4.868907157268061,4.7890916
